Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,High_Value_Flag,Verified Price per Unit
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,1,500.0
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,1,500.0
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,0,30.0
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,0,25.0
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,0,50.0
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,0,50.0
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,0,50.0
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,0,25.0
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,0,25.0
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,0,30.0
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,1,300.0
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,0,50.0
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,1,500.0
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,0,30.0
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,1,500.0
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,0,50.0
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,0,50.0
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,0,25.0
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,1,300.0
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,1,300.0
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,1,500.0
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,1,500.0
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,1,500.0
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,0,25.0
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,0,25.0
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,1,500.0
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,1,500.0
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,0,50.0
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,0,25.0
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,0,30.0
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,1,300.0
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,0,30.0
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,1,300.0
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,0,30.0
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,0,30.0
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,0,30.0
315,2023-06-01,CUST315,Male,47,Clothing,2,30,60,0,30.0
316,2023-04-22,CUST316,Female,48,Clothing,2,25,50,0,25.0
318,2023-10-24,CUST318,Male,61,Clothing,1,25,25,0,25.0
319,2023-10-05,CUST319,Male,31,Clothing,1,500,500,1,500.0
326,2023-09-15,CUST326,Female,18,Clothing,3,25,75,0,25.0
337,2023-05-01,CUST337,Male,38,Clothing,1,500,500,1,500.0
340,2023-10-19,CUST340,Female,36,Clothing,4,300,1200,1,300.0
341,2023-05-07,CUST341,Male,31,Clothing,4,50,200,0,50.0
342,2023-10-24,CUST342,Female,43,Clothing,4,500,2000,1,500.0
346,2023-02-11,CUST346,Male,59,Clothing,2,500,1000,1,500.0
351,2023-09-25,CUST351,Female,56,Clothing,3,30,90,0,30.0
359,2023-07-22,CUST359,Male,50,Clothing,1,50,50,0,50.0
360,2023-03-09,CUST360,Male,42,Clothing,4,25,100,0,25.0
362,2023-11-27,CUST362,Male,50,Clothing,1,25,25,0,25.0
365,2023-06-11,CUST365,Male,31,Clothing,1,300,300,1,300.0
366,2023-02-07,CUST366,Male,57,Clothing,2,50,100,0,50.0
368,2023-08-23,CUST368,Female,56,Clothing,4,300,1200,1,300.0
375,2023-09-17,CUST375,Male,32,Clothing,1,50,50,0,50.0
377,2023-03-09,CUST377,Female,46,Clothing,4,50,200,0,50.0
379,2023-02-05,CUST379,Female,47,Clothing,1,25,25,0,25.0
381,2023-07-09,CUST381,Female,44,Clothing,4,25,100,0,25.0
382,2023-05-26,CUST382,Female,53,Clothing,2,500,1000,1,500.0
384,2023-08-13,CUST384,Male,55,Clothing,1,500,500,1,500.0
389,2023-12-01,CUST389,Male,21,Clothing,2,25,50,0,25.0
392,2023-12-08,CUST392,Male,27,Clothing,2,300,600,1,300.0
394,2023-06-03,CUST394,Female,27,Clothing,1,500,500,1,500.0
398,2023-05-16,CUST398,Female,48,Clothing,2,300,600,1,300.0
400,2023-02-24,CUST400,Male,53,Clothing,4,50,200,0,50.0
401,2023-10-11,CUST401,Female,62,Clothing,1,300,300,1,300.0
402,2023-03-21,CUST402,Female,41,Clothing,2,300,600,1,300.0
403,2023-05-20,CUST403,Male,32,Clothing,2,300,600,1,300.0
405,2023-11-06,CUST405,Female,25,Clothing,4,300,1200,1,300.0
410,2023-11-21,CUST410,Female,29,Clothing,2,50,100,0,50.0
415,2023-01-27,CUST415,Male,53,Clothing,2,30,60,0,30.0
419,2023-05-22,CUST419,Female,44,Clothing,3,30,90,0,30.0
420,2023-01-23,CUST420,Female,22,Clothing,4,500,2000,1,500.0
421,2023-01-02,CUST421,Female,37,Clothing,3,500,1500,1,500.0
422,2023-06-20,CUST422,Female,28,Clothing,3,30,90,0,30.0
423,2023-03-08,CUST423,Female,27,Clothing,1,25,25,0,25.0
436,2023-03-18,CUST436,Female,57,Clothing,4,30,120,0,30.0
438,2023-01-19,CUST438,Female,42,Clothing,1,30,30,0,30.0
439,2023-07-09,CUST439,Male,50,Clothing,3,25,75,0,25.0
440,2023-10-26,CUST440,Male,64,Clothing,2,300,600,1,300.0
442,2023-03-17,CUST442,Female,60,Clothing,4,25,100,0,25.0
443,2023-08-09,CUST443,Male,29,Clothing,2,300,600,1,300.0
444,2023-03-07,CUST444,Female,61,Clothing,3,30,90,0,30.0
452,2023-05-08,CUST452,Female,48,Clothing,3,500,1500,1,500.0
453,2023-12-08,CUST453,Female,26,Clothing,2,500,1000,1,500.0
459,2023-03-21,CUST459,Male,28,Clothing,4,300,1200,1,300.0
470,2023-05-17,CUST470,Female,57,Clothing,2,500,1000,1,500.0
471,2023-03-23,CUST471,Male,32,Clothing,3,50,150,0,50.0
474,2023-07-15,CUST474,Female,26,Clothing,3,500,1500,1,500.0
475,2023-01-20,CUST475,Male,26,Clothing,3,25,75,0,25.0
476,2023-08-29,CUST476,Female,27,Clothing,4,500,2000,1,500.0
477,2023-04-24,CUST477,Male,43,Clothing,4,30,120,0,30.0
478,2023-04-13,CUST478,Female,58,Clothing,2,30,60,0,30.0
482,2023-04-27,CUST482,Female,28,Clothing,4,300,1200,1,300.0
483,2023-04-25,CUST483,Male,55,Clothing,1,30,30,0,30.0
484,2023-01-13,CUST484,Female,19,Clothing,4,300,1200,1,300.0
487,2023-07-24,CUST487,Male,44,Clothing,4,500,2000,1,500.0
490,2023-02-05,CUST490,Male,34,Clothing,3,50,150,0,50.0
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600,1,300.0
497,2023-10-02,CUST497,Male,41,Clothing,4,30,120,0,30.0
498,2023-06-19,CUST498,Female,50,Clothing,4,25,100,0,25.0
515,2023-07-17,CUST515,Female,49,Clothing,3,300,900,1,300.0
517,2023-04-08,CUST517,Female,47,Clothing,4,25,100,0,25.0
518,2023-05-11,CUST518,Female,40,Clothing,1,30,30,0,30.0
521,2023-08-12,CUST521,Female,47,Clothing,4,30,120,0,30.0
526,2023-12-10,CUST526,Male,33,Clothing,2,50,100,0,50.0
527,2023-04-11,CUST527,Male,57,Clothing,2,25,50,0,25.0
528,2023-07-06,CUST528,Female,36,Clothing,2,30,60,0,30.0
529,2023-08-09,CUST529,Female,35,Clothing,3,50,150,0,50.0
532,2023-06-19,CUST532,Female,64,Clothing,4,30,120,0,30.0
534,2023-06-10,CUST534,Male,45,Clothing,2,500,1000,1,500.0
538,2023-09-17,CUST538,Male,18,Clothing,3,50,150,0,50.0
545,2023-06-01,CUST545,Male,27,Clothing,2,25,50,0,25.0
547,2023-03-07,CUST547,Male,63,Clothing,4,500,2000,1,500.0
548,2023-04-09,CUST548,Female,51,Clothing,2,30,60,0,30.0
550,2023-12-07,CUST550,Male,40,Clothing,3,300,900,1,300.0
553,2023-03-31,CUST553,Male,24,Clothing,4,300,1200,1,300.0
558,2023-10-08,CUST558,Female,41,Clothing,1,25,25,0,25.0
559,2023-01-01,CUST559,Female,40,Clothing,4,300,1200,1,300.0
561,2023-05-27,CUST561,Female,64,Clothing,4,500,2000,1,500.0
563,2023-08-09,CUST563,Male,20,Clothing,2,30,60,0,30.0
566,2023-12-02,CUST566,Female,64,Clothing,1,30,30,0,30.0
567,2023-06-14,CUST567,Female,25,Clothing,3,300,900,1,300.0
570,2023-08-15,CUST570,Male,49,Clothing,1,500,500,1,500.0
572,2023-04-20,CUST572,Male,31,Clothing,4,500,2000,1,500.0
575,2023-03-28,CUST575,Male,60,Clothing,2,50,100,0,50.0
578,2023-05-26,CUST578,Female,54,Clothing,4,30,120,0,30.0
580,2023-12-06,CUST580,Female,31,Clothing,3,500,1500,1,500.0
582,2023-11-14,CUST582,Male,35,Clothing,3,300,900,1,300.0
585,2023-05-01,CUST585,Female,24,Clothing,1,25,25,0,25.0
590,2023-03-17,CUST590,Male,36,Clothing,3,300,900,1,300.0
595,2023-11-09,CUST595,Female,18,Clothing,4,500,2000,1,500.0
601,2023-04-10,CUST601,Male,19,Clothing,1,30,30,0,30.0
603,2023-07-16,CUST603,Female,40,Clothing,3,30,90,0,30.0
607,2023-03-17,CUST607,Male,54,Clothing,3,25,75,0,25.0
609,2023-12-19,CUST609,Female,47,Clothing,2,50,100,0,50.0
613,2023-04-23,CUST613,Female,52,Clothing,3,30,90,0,30.0
615,2023-12-23,CUST615,Female,61,Clothing,4,25,100,0,25.0
616,2023-09-23,CUST616,Male,41,Clothing,2,50,100,0,50.0
623,2023-03-10,CUST623,Male,34,Clothing,3,50,150,0,50.0
625,2023-12-08,CUST625,Male,31,Clothing,1,300,300,1,300.0
626,2023-09-29,CUST626,Female,26,Clothing,4,500,2000,1,500.0
627,2023-10-14,CUST627,Male,57,Clothing,1,50,50,0,50.0
630,2023-08-15,CUST630,Male,42,Clothing,2,50,100,0,50.0
637,2023-09-01,CUST637,Male,43,Clothing,2,300,600,1,300.0
642,2023-05-22,CUST642,Female,54,Clothing,4,25,100,0,25.0
646,2023-05-03,CUST646,Male,38,Clothing,3,30,90,0,30.0
647,2023-05-21,CUST647,Male,59,Clothing,3,500,1500,1,500.0
649,2023-02-09,CUST649,Female,58,Clothing,2,300,600,1,300.0
651,2023-05-27,CUST651,Male,51,Clothing,3,50,150,0,50.0
653,2023-05-20,CUST653,Male,54,Clothing,3,25,75,0,25.0
654,2023-06-21,CUST654,Male,42,Clothing,3,25,75,0,25.0
655,2023-06-13,CUST655,Female,55,Clothing,1,500,500,1,500.0
657,2023-02-11,CUST657,Male,40,Clothing,1,25,25,0,25.0
658,2023-03-12,CUST658,Male,59,Clothing,1,25,25,0,25.0
661,2023-07-16,CUST661,Female,44,Clothing,4,25,100,0,25.0
663,2023-03-20,CUST663,Male,23,Clothing,4,300,1200,1,300.0
664,2023-12-28,CUST664,Female,44,Clothing,4,500,2000,1,500.0
665,2023-04-20,CUST665,Male,57,Clothing,1,50,50,0,50.0
673,2023-02-01,CUST673,Female,43,Clothing,3,500,1500,1,500.0
674,2023-04-16,CUST674,Female,38,Clothing,1,300,300,1,300.0
675,2023-08-04,CUST675,Female,45,Clothing,2,30,60,0,30.0
680,2023-10-22,CUST680,Female,53,Clothing,3,300,900,1,300.0
684,2023-06-30,CUST684,Female,28,Clothing,2,500,1000,1,500.0
688,2023-10-03,CUST688,Male,56,Clothing,4,25,100,0,25.0
690,2023-11-05,CUST690,Female,52,Clothing,3,300,900,1,300.0
691,2023-04-23,CUST691,Female,51,Clothing,3,30,90,0,30.0
692,2023-09-07,CUST692,Female,64,Clothing,2,50,100,0,50.0
696,2023-09-06,CUST696,Female,50,Clothing,4,50,200,0,50.0
697,2023-01-15,CUST697,Male,53,Clothing,1,500,500,1,500.0
699,2023-06-22,CUST699,Female,37,Clothing,4,30,120,0,30.0
702,2023-07-27,CUST702,Female,60,Clothing,2,300,600,1,300.0
704,2023-08-28,CUST704,Female,62,Clothing,3,30,90,0,30.0
707,2023-10-01,CUST707,Female,26,Clothing,1,500,500,1,500.0
714,2023-02-12,CUST714,Female,18,Clothing,1,500,500,1,500.0
716,2023-08-08,CUST716,Female,60,Clothing,4,300,1200,1,300.0
717,2023-03-11,CUST717,Male,57,Clothing,1,500,500,1,500.0
719,2023-04-04,CUST719,Female,42,Clothing,2,30,60,0,30.0
721,2023-05-14,CUST721,Female,52,Clothing,1,500,500,1,500.0
724,2023-04-19,CUST724,Male,61,Clothing,3,50,150,0,50.0
726,2023-06-17,CUST726,Male,47,Clothing,4,300,1200,1,300.0
729,2023-05-23,CUST729,Male,29,Clothing,4,300,1200,1,300.0
730,2023-08-04,CUST730,Female,36,Clothing,2,25,50,0,25.0
731,2023-05-10,CUST731,Male,54,Clothing,4,500,2000,1,500.0
734,2023-01-10,CUST734,Female,27,Clothing,1,30,30,0,30.0
735,2023-10-04,CUST735,Female,64,Clothing,4,500,2000,1,500.0
736,2023-01-27,CUST736,Male,29,Clothing,4,25,100,0,25.0
737,2023-06-29,CUST737,Female,33,Clothing,1,50,50,0,50.0
738,2023-04-25,CUST738,Male,41,Clothing,2,50,100,0,50.0
741,2023-11-30,CUST741,Male,48,Clothing,1,300,300,1,300.0
746,2023-01-11,CUST746,Female,33,Clothing,3,30,90,0,30.0
748,2023-03-20,CUST748,Male,25,Clothing,3,50,150,0,50.0
750,2023-03-06,CUST750,Female,35,Clothing,3,25,75,0,25.0
751,2023-08-31,CUST751,Female,42,Clothing,2,25,50,0,25.0
752,2023-12-09,CUST752,Male,29,Clothing,2,50,100,0,50.0
753,2023-02-28,CUST753,Female,32,Clothing,1,30,30,0,30.0
755,2023-04-22,CUST755,Female,58,Clothing,3,25,75,0,25.0
758,2023-05-12,CUST758,Male,64,Clothing,4,25,100,0,25.0
761,2023-11-07,CUST761,Female,33,Clothing,1,500,500,1,500.0
763,2023-02-28,CUST763,Male,34,Clothing,2,25,50,0,25.0
764,2023-03-25,CUST764,Female,40,Clothing,1,25,25,0,25.0
765,2023-06-09,CUST765,Male,43,Clothing,4,50,200,0,50.0
770,2023-10-22,CUST770,Male,32,Clothing,1,50,50,0,50.0
774,2023-04-12,CUST774,Female,40,Clothing,2,25,50,0,25.0
776,2023-10-31,CUST776,Male,35,Clothing,3,30,90,0,30.0
782,2023-06-04,CUST782,Male,59,Clothing,3,300,900,1,300.0
783,2023-12-17,CUST783,Female,56,Clothing,1,300,300,1,300.0
786,2023-10-17,CUST786,Male,48,Clothing,4,25,100,0,25.0
789,2023-09-30,CUST789,Female,61,Clothing,4,500,2000,1,500.0
790,2023-08-08,CUST790,Male,62,Clothing,1,25,25,0,25.0
797,2023-01-07,CUST797,Male,40,Clothing,3,25,75,0,25.0
798,2023-08-04,CUST798,Male,61,Clothing,1,50,50,0,50.0
800,2023-02-24,CUST800,Male,32,Clothing,4,300,1200,1,300.0
801,2023-08-10,CUST801,Male,21,Clothing,4,50,200,0,50.0
803,2023-11-22,CUST803,Male,39,Clothing,4,25,100,0,25.0
814,2023-09-05,CUST814,Female,59,Clothing,1,500,500,1,500.0
815,2023-08-27,CUST815,Female,51,Clothing,3,25,75,0,25.0
824,2023-05-05,CUST824,Male,63,Clothing,4,30,120,0,30.0
826,2023-10-19,CUST826,Female,46,Clothing,1,300,300,1,300.0
830,2023-06-22,CUST830,Female,64,Clothing,3,50,150,0,50.0
835,2023-09-07,CUST835,Male,37,Clothing,4,50,200,0,50.0
836,2023-04-19,CUST836,Female,22,Clothing,1,50,50,0,50.0
840,2023-05-24,CUST840,Male,62,Clothing,2,25,50,0,25.0
842,2023-12-26,CUST842,Female,47,Clothing,2,300,600,1,300.0
844,2023-10-12,CUST844,Male,35,Clothing,3,50,150,0,50.0
845,2023-01-06,CUST845,Male,54,Clothing,1,500,500,1,500.0
848,2023-02-13,CUST848,Female,63,Clothing,3,25,75,0,25.0
849,2023-05-04,CUST849,Male,32,Clothing,2,25,50,0,25.0
852,2023-10-12,CUST852,Female,41,Clothing,1,300,300,1,300.0
854,2023-12-20,CUST854,Male,29,Clothing,1,50,50,0,50.0
860,2023-01-09,CUST860,Male,63,Clothing,4,50,200,0,50.0
861,2023-02-17,CUST861,Female,41,Clothing,3,30,90,0,30.0
865,2023-12-21,CUST865,Female,42,Clothing,1,300,300,1,300.0
876,2023-10-09,CUST876,Male,43,Clothing,4,30,120,0,30.0
877,2023-06-19,CUST877,Female,58,Clothing,1,25,25,0,25.0
878,2023-06-30,CUST878,Female,20,Clothing,1,30,30,0,30.0
879,2023-12-26,CUST879,Male,23,Clothing,1,30,30,0,30.0
884,2023-04-29,CUST884,Female,26,Clothing,2,30,60,0,30.0
885,2023-03-03,CUST885,Female,52,Clothing,4,30,120,0,30.0
887,2023-06-11,CUST887,Male,59,Clothing,4,25,100,0,25.0
895,2023-05-22,CUST895,Female,55,Clothing,4,30,120,0,30.0
898,2023-11-02,CUST898,Female,42,Clothing,3,30,90,0,30.0
899,2023-05-25,CUST899,Male,26,Clothing,2,300,600,1,300.0
900,2023-02-21,CUST900,Male,21,Clothing,2,30,60,0,30.0
904,2023-07-04,CUST904,Male,28,Clothing,1,500,500,1,500.0
906,2023-06-04,CUST906,Female,20,Clothing,1,50,50,0,50.0
928,2023-04-05,CUST928,Female,35,Clothing,4,300,1200,1,300.0
930,2023-05-10,CUST930,Male,54,Clothing,4,50,200,0,50.0
938,2023-11-19,CUST938,Male,49,Clothing,4,50,200,0,50.0
941,2023-03-19,CUST941,Female,57,Clothing,2,25,50,0,25.0
942,2023-03-18,CUST942,Male,51,Clothing,3,500,1500,1,500.0
943,2023-10-16,CUST943,Female,57,Clothing,4,300,1200,1,300.0
944,2023-06-05,CUST944,Male,44,Clothing,2,25,50,0,25.0
950,2023-11-07,CUST950,Male,36,Clothing,3,300,900,1,300.0
952,2023-11-13,CUST952,Female,57,Clothing,1,25,25,0,25.0
955,2023-07-14,CUST955,Male,58,Clothing,1,25,25,0,25.0
956,2023-08-19,CUST956,Male,30,Clothing,3,500,1500,1,500.0
960,2023-08-08,CUST960,Male,59,Clothing,2,30,60,0,30.0
962,2023-10-19,CUST962,Male,44,Clothing,2,30,60,0,30.0
964,2023-01-31,CUST964,Male,24,Clothing,3,300,900,1,300.0
965,2023-11-09,CUST965,Male,22,Clothing,4,50,200,0,50.0
968,2023-11-17,CUST968,Female,48,Clothing,3,300,900,1,300.0
969,2023-04-19,CUST969,Female,40,Clothing,3,300,900,1,300.0
973,2023-03-22,CUST973,Male,60,Clothing,1,50,50,0,50.0
975,2023-03-30,CUST975,Female,56,Clothing,4,50,200,0,50.0
978,2023-03-22,CUST978,Female,53,Clothing,3,50,150,0,50.0
983,2023-11-01,CUST983,Female,29,Clothing,1,300,300,1,300.0
984,2023-08-29,CUST984,Male,56,Clothing,1,500,500,1,500.0
986,2023-01-17,CUST986,Female,49,Clothing,2,500,1000,1,500.0
987,2023-04-29,CUST987,Female,30,Clothing,3,300,900,1,300.0
988,2023-05-28,CUST988,Female,63,Clothing,3,25,75,0,25.0
991,2023-12-26,CUST991,Female,34,Clothing,2,50,100,0,50.0
995,2023-04-30,CUST995,Female,41,Clothing,1,30,30,0,30.0
996,2023-05-16,CUST996,Male,62,Clothing,1,50,50,0,50.0
